Group num: 0, TC(X;Y_j): 1.333
migrant, 0.341, 4.000, 1.364
workers, 0.147, 4.000, 0.587
season, 0.042, 4.000, 0.169
experiencing, 0.060, 1.000, 0.060
knew, 0.033, 1.000, 0.033
advertising, 0.033, 1.000, 0.033
asian, 0.033, 1.000, 0.033
contacted, 0.033, 1.000, 0.033
design, 0.022, 1.000, 0.022
liberals, 0.016, 1.000, 0.016
echo, 0.016, 1.000, 0.016
unrefined, 0.016, 1.000, 0.016
jump, 0.016, 1.000, 0.016
tradesperson, 0.007, 1.000, 0.007
reassigned, 0.007, 1.000, 0.007
prohibited, 0.007, 1.000, 0.007
officials, 0.007, 1.000, 0.007
notoriously, 0.007, 1.000, 0.007
mismanaged, 0.007, 1.000, 0.007
disparity, 0.007, 1.000, 0.007
materialized, 0.007, 1.000, 0.007
cusp, 0.007, 1.000, 0.007
empire, 0.007, 1.000, 0.007
embarrassment, 0.007, 1.000, 0.007
earth, 0.007, 1.000, 0.007
eagle, 0.007, 1.000, 0.007
constant, 0.007, 1.000, 0.007
expressly, 0.007, 1.000, 0.007
Group num: 1, TC(X;Y_j): 1.528
analysis, 0.126, 1.000, 0.126
supply, 0.126, 1.000, 0.126
complaint, 0.126, 1.000, 0.126
report, 0.101, 1.000, 0.101
offered, 0.101, 1.000, 0.101
expected, 0.099, 1.000, 0.099
rule, 0.094, 1.000, 0.094
signed, 0.093, 1.000, 0.093
affair, 0.090, 1.000, 0.090
transport, 0.090, 1.000, 0.090
transfer, 0.090, 1.000, 0.090
refused, 0.090, 1.000, 0.090
concerned, 0.089, 1.000, 0.089
open, 0.086, 1.000, 0.086
territorial, 0.082, 1.000, 0.082
room, 0.082, 1.000, 0.082
port, 0.081, 1.000, 0.081
agreed, 0.075, 1.000, 0.075
table, 0.065, 1.000, 0.065
seafarer, 0.064, 1.000, 0.064
lost, 0.064, 1.000, 0.064
established, 0.059, 1.000, 0.059
governing, 0.056, 1.000, 0.056
deemed, 0.056, 1.000, 0.056
opinion, 0.051, 1.000, 0.051
maritime, 0.050, 1.000, 0.050
cabotage, 0.047, 1.000, 0.047
boat, 0.047, 1.000, 0.047
seeker, 0.047, 1.000, 0.047
stakeholder, 0.041, 1.000, 0.041
protects, 0.039, 1.000, 0.039
asset, 0.035, 1.000, 0.035
respecting, 0.035, 1.000, 0.035
stress, 0.031, 1.000, 0.031
adoption, 0.031, 1.000, 0.031
useful, 0.031, 1.000, 0.031
emerson, 0.031, 1.000, 0.031
dismantle, 0.031, 1.000, 0.031
unable, 0.028, 1.000, 0.028
cheaper, 0.027, 1.000, 0.027
dismantling, 0.023, 1.000, 0.023
unionized, 0.023, 1.000, 0.023
sail, 0.014, 1.000, 0.014
waterway, 0.014, 1.000, 0.014
endangering, 0.006, 1.000, 0.006
shipping, 0.006, 1.000, 0.006
Group num: 2, TC(X;Y_j): 1.285
recommendation, 0.145, 1.000, 0.145
association, 0.130, 1.000, 0.130
written, 0.127, 1.000, 0.127
transparency, 0.120, 1.000, 0.120
consultation, 0.105, 1.000, 0.105
stated, 0.101, 1.000, 0.101
cover, 0.088, 1.000, 0.088
selected, 0.088, 1.000, 0.088
relation, 0.082, 1.000, 0.082
charge, 0.070, 1.000, 0.070
treaty, 0.070, 1.000, 0.070
consult, 0.064, 1.000, 0.064
repeat, 0.060, 1.000, 0.060
commercial, 0.060, 1.000, 0.060
holding, 0.060, 1.000, 0.060
exactly, 0.060, 1.000, 0.060
worrisome, 0.051, 1.000, 0.051
entirely, 0.051, 1.000, 0.051
recommended, 0.051, 1.000, 0.051
answer, 0.050, 1.000, 0.050
obtain, 0.049, 1.000, 0.049
guideline, 0.042, 1.000, 0.042
adopt, 0.042, 1.000, 0.042
establish, 0.038, 1.000, 0.038
parliamentary, 0.037, 1.000, 0.037
transferred, 0.033, 1.000, 0.033
acknowledged, 0.033, 1.000, 0.033
investigating, 0.033, 1.000, 0.033
complicated, 0.033, 1.000, 0.033
cbsa, 0.032, 1.000, 0.032
basically, 0.030, 1.000, 0.030
violation, 0.030, 1.000, 0.030
violates, 0.024, 1.000, 0.024
allotment, 0.024, 1.000, 0.024
suit, 0.024, 1.000, 0.024
revealed, 0.024, 1.000, 0.024
nations, 0.024, 1.000, 0.024
investigated, 0.024, 1.000, 0.024
previously, 0.024, 1.000, 0.024
recommends, 0.024, 1.000, 0.024
ripped, 0.024, 1.000, 0.024
ministry, 0.016, 1.000, 0.016
blatantly, 0.016, 1.000, 0.016
bansal, 0.016, 1.000, 0.016
acted, 0.016, 1.000, 0.016
kuldeep, 0.016, 1.000, 0.016
downgraded, 0.007, 1.000, 0.007
iranian, 0.007, 1.000, 0.007
Group num: 3, TC(X;Y_j): 1.427
environment, 0.187, 1.000, 0.187
study, 0.187, 1.000, 0.187
measure, 0.186, 1.000, 0.186
proposed, 0.176, 1.000, 0.176
face, 0.162, 1.000, 0.162
mechanism, 0.159, 1.000, 0.159
second, 0.155, 1.000, 0.155
seek, 0.152, 1.000, 0.152
step, 0.141, 1.000, 0.141
build, 0.136, 1.000, 0.136
concern, 0.120, 1.000, 0.120
shared, 0.105, 1.000, 0.105
expand, 0.078, 1.000, 0.078
specifically, 0.077, 1.000, 0.077
low, 0.074, 1.000, 0.074
belief, 0.068, 1.000, 0.068
path, 0.067, 1.000, 0.067
component, 0.065, 1.000, 0.065
equal, 0.060, 1.000, 0.060
direction, 0.059, 1.000, 0.059
prepared, 0.054, 1.000, 0.054
changing, 0.054, 1.000, 0.054
track, 0.051, 1.000, 0.051
urge, 0.047, 1.000, 0.047
voice, 0.040, 1.000, 0.040
single, 0.033, 1.000, 0.033
park, 0.033, 1.000, 0.033
science, 0.028, 1.000, 0.028
generally, 0.026, 1.000, 0.026
Group num: 4, TC(X;Y_j): 1.551
state, 0.337, 1.000, 0.337
country, 0.317, 1.000, 0.317
point, 0.224, 1.000, 0.224
united, 0.208, 1.000, 0.208
look, 0.180, 1.000, 0.180
international, 0.163, 1.000, 0.163
partner, 0.135, 1.000, 0.135
building, 0.123, 1.000, 0.123
difficult, 0.114, 1.000, 0.114
effect, 0.110, 1.000, 0.110
believe, 0.110, 1.000, 0.110
condition, 0.104, 1.000, 0.104
type, 0.089, 1.000, 0.089
wanted, 0.089, 1.000, 0.089
barrier, 0.074, 1.000, 0.074
remember, 0.071, 1.000, 0.071
wage, 0.059, 1.000, 0.059
conflict, 0.059, 1.000, 0.059
supposed, 0.057, 1.000, 0.057
asked, 0.055, 1.000, 0.055
brought, 0.054, 1.000, 0.054
thought, 0.050, 1.000, 0.050
compete, 0.046, 1.000, 0.046
bringing, 0.046, 1.000, 0.046
floor, 0.040, 1.000, 0.040
extreme, 0.034, 1.000, 0.034
consulted, 0.033, 1.000, 0.033
