Group num., NTC
0, 0.584
11, -0.038
66, -0.055
35, -0.066
73, -0.082
4, -0.087
7, -0.112
69, -0.117
18, -0.138
5, -0.139
43, -0.143
40, -0.144
37, -0.145
13, -0.153
19, -0.163
9, -0.164
67, -0.167
38, -0.170
29, -0.171
39, -0.173
28, -0.177
32, -0.187
42, -0.194
3, -0.209
36, -0.213
12, -0.214
71, -0.217
61, -0.222
51, -0.222
14, -0.224
48, -0.227
50, -0.234
27, -0.236
53, -0.241
16, -0.246
59, -0.247
70, -0.248
25, -0.254
46, -0.259
20, -0.264
33, -0.271
10, -0.273
2, -0.275
54, -0.278
65, -0.281
44, -0.290
55, -0.290
60, -0.291
15, -0.313
68, -0.315
31, -0.320
64, -0.338
26, -0.341
45, -0.347
74, -0.364
1, -0.367
6, -0.370
17, -0.380
47, -0.381
41, -0.393
56, -0.399
57, -0.405
23, -0.410
34, -0.426
72, -0.475
8, -0.490
49, -0.517
63, -0.556
58, -0.788
22, -0.798
62, -0.836
24, -1.088
52, -1.321
21, -2.012
30, -2.201
